timestamp,overview_id,review_id,review_url,rating_date,count_helpful,count_unhelpful,employee_job_end_year,employee_length,employee_responses,employee_status,employee_type,flag_covid,flag_featured,flags_business_outlook,flags_ceo_approval,flags_recommend_frend,rating_culture_values,rating_diversity_inclusion,rating_overall,rating_work_life,summary,company_name,review_advice,url,employee_location,employee_job_title,advice_to_management,overview_url,original_url,review_pros,review_cons,rating_compensation_benefits,rating_senior_leadership,rating_career_opportunities,glassdoor_employer_id
"2024-04-02 00:00:00.000","925157","28951745","https://www.glassdoor.co.uk/Reviews/Employee-Review-Elevance-Health-RVW28951745.htm","""2019-08-30T18:24:32.680Z""",10,"",2019,20,"null","REGULAR","Former employee, more than 10 years","","","NEGATIVE","DISAPPROVE","NEGATIVE",1,"",2,1,"IT is Out of Control","Elevance Health","","https://www.glassdoor.co.uk/Reviews/Elevance-Health-Reviews-E925157_P392.htm?sort.sortType=RD&sort.ascending=false&filter.iso3Language=eng&filter.includePastEmployees=true&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=FREELANCE","N/A","Manager","Humble yourselves.  Remember when you were coming up in your career.  Respect your associates and appreciate all that they do to try and keep up with your ever changing orders.  Stop treating people like numbers.","https://www.glassdoor.co.uk/Overview/Working-at-Elevance-Health-EI_IE925157.11,26.htm","https://www.glassdoor.co.uk/Reviews/Elevance-Health-Reviews-E925157.htm?filter.iso3Language=spa&filter.employmentStatus=INTERN&filter.employmentStatus=FREELANCE&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=TEMPORARY","Salary was good for the position, but only because they never promoted anyone.","Relentless pressure from the top.  Constantly changing direction.  Senior management is easily sold on every shiny new toy, rather than strengthening existing infrastructure.",2,1,1,"925157"
"2024-04-02 00:00:00.000","100231","59978917","https://www.glassdoor.co.uk/Reviews/Employee-Review-HDFC-Bank-RVW59978917.htm","""2022-02-19T21:38:00.363Z""",2,"","",6,"null","REGULAR","Current employee, more than 5 years","","","POSITIVE","APPROVE","POSITIVE",3,5,5,2,"Great Company to work with","HDFC Bank","","https://www.glassdoor.co.uk/Reviews/HDFC-Bank-Reviews-E100231_P296.htm?sort.sortType=RD&sort.ascending=false&filter.iso3Language=eng&filter.includePastEmployees=true&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=FREELANCE","New Delhi","Assistant Vice President","Bring this great Company at par with similar great companies in India, eg, Infosys, TATA, etc, in terms of work culture and environment.","https://www.glassdoor.co.uk/Overview/Working-at-HDFC-Bank-EI_IE100231.11,20.htm","https://www.glassdoor.co.uk/Reviews/HDFC-Bank-Reviews-E100231.htm?filter.iso3Language=spa&filter.employmentStatus=INTERN&filter.employmentStatus=FREELANCE&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=TEMPORARY","1. Great brand name
2. Top Management are consistent on bank's goals and strategies
3. Constantly growing company","1. Work hours do not adhere to internationally accepted standards
2. Supervisory culture still embedded in 20th century, with juniors addressing Supervisors as 'Sir', and Supervisor wielding his authority with abandon.",3,5,5,"100231"
"2024-04-02 00:00:00.000","9079","42749601","https://www.glassdoor.co.uk/Reviews/Employee-Review-Google-RVW42749601.htm","""2021-02-19T02:53:22.840Z""","","",2021,2,"null","REGULAR","Former employee, more than 1 year","","","POSITIVE","APPROVE","POSITIVE",5,5,4,5,"Great","Google","","https://www.glassdoor.co.uk/Reviews/Google-Reviews-E9079_P3013.htm?sort.sortType=RD&sort.ascending=false&filter.iso3Language=eng&filter.includePastEmployees=true&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=FREELANCE","Chennai","Software Developer","Good","https://www.glassdoor.co.uk/Overview/Working-at-Google-EI_IE9079.11,17.htm","https://www.glassdoor.co.uk/Reviews/Google-Reviews-E9079.htm?filter.iso3Language=spa&filter.employmentStatus=INTERN&filter.employmentStatus=FREELANCE&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=TEMPORARY","Good and best and bestest best","Not bad and not bad and not bad",5,5,3,"9079"
"2024-03-27 00:00:00.000","5775","12095563","https://www.glassdoor.co.uk/Reviews/Employee-Review-Vodafone-RVW12095563.htm","""2016-09-27T16:00:19.067Z""",4,"",2015,2,"null","REGULAR","Former employee, more than 1 year","","","NEGATIVE","NO_OPINION","NEGATIVE",1,"",2,1,"Vodafone is an Egotistical Company that only cares about its net promoter score","Vodafone","","https://www.glassdoor.co.uk/Reviews/Vodafone-Reviews-E5775_P1367.htm?sort.sortType=RD&sort.ascending=false&filter.iso3Language=eng&filter.includePastEmployees=true&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=FREELANCE","London, England","Retail Store Manager","You have some amazing staff members who are totally disengaged. Your TNPS system is floored. Your computer system seibel regardless what you say is not fit for purpose. People's jobs should not be on the line based on a survey score.","https://www.glassdoor.co.uk/Overview/Working-at-Vodafone-EI_IE5775.11,19.htm","https://www.glassdoor.co.uk/Reviews/Vodafone-Reviews-E5775.htm?filter.iso3Language=eng&filter.employmentStatus=INTERN&filter.employmentStatus=FREELANCE&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=TEMPORARY","Unfortunately there were no pros during my time working for this company.","Retail Stores are severely understaffed.
New system called seibel-none of the staff know how to use properly.
Bonus is all based on Net Promoter Score. Their are three questions asked, however Vodafone only care about the first one- would you recommend Vodafone to a friend or family unless customer gives 9/10 staff members are penalised. Staff can potentially loose their job based on this system. Unfortunately what Vodafone do not realise is that people will rank Vodafone based on their whole experience not the last one.
The majority of departments that can actually resolve a customer issue are only available to be contacted via an email.",2,2,2,"5775"
"2024-04-02 00:00:00.000","89","46084540","https://www.glassdoor.co.uk/Reviews/Employee-Review-Verizon-RVW46084540.htm","""2021-04-26T15:08:18.067Z""","","","",2,"null","REGULAR","Current employee, more than 1 year",true,"","NEGATIVE","APPROVE","NEGATIVE",5,5,3,3,"Great company, poor processes, high expectations","Verizon","","https://www.glassdoor.co.uk/Reviews/Verizon-Reviews-E89_P980.htm?sort.sortType=RD&sort.ascending=false&filter.iso3Language=eng&filter.includePastEmployees=true&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=FREELANCE","Rolling Meadows, IL","Business Account Manager","Handle customer escalations so BAMs can focus on sales. Be realistic about sales goals, especially given the recent environment. Fix broken processes, or figure out the chain of command so someone is accountable to get the problems fixed.","https://www.glassdoor.co.uk/Overview/Working-at-Verizon-EI_IE89.11,18.htm","https://www.glassdoor.co.uk/Reviews/Verizon-Reviews-E89.htm?filter.iso3Language=spa&filter.employmentStatus=INTERN&filter.employmentStatus=FREELANCE&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=TEMPORARY","Working with business owners or employees to solve telecommunication and technology. Great salary, if you can make your sales goals.","Amount of sales and expectations are unrealistic. Due to Covid, the job turned from outside sales to inside sales. Basically glorified telemarketer. Leadership micromanages, but changes the directives constantly. No ability to consistently perform without feeling overwhelmed and stressed and working 50-60 hours per week.
Operations team and customer service team are not helpful and their processes are broken and inconsistent. Causes more problems for customers that the Business Account Managers are expected to fix and follow through on resolution on, even though they weren't the one who created the issue.",4,2,3,"89"
"2023-07-28 00:00:00.000","58316203","58316203","https://www.glassdoor.com/Reviews/Employee-Review-Florida-Blue-RVW58316203.htm","""2022-01-21T00:00:00.000Z""",1,"",2021,2,"null","","Former Employee","","","POSITIVE","APPROVE","POSITIVE",5,5,5,5,"Commercial Product Internship","Florida Blue","","","","","","","","Very inclusive and helpful environment which made succeeding in the role very achievable.","Nothing sticks out to me that I would change.",5,5,"",""
"2023-07-24 00:00:00.000","39919074","39919074","https://www.glassdoor.com/Reviews/Employee-Review-YouTrip-RVW39919074.htm","""2020-12-29T00:00:00.000Z""",7,"",2018,1,"null","","Former Employee","","","NEUTRAL","DISAPPROVE","NEGATIVE",1,1,1,3,"Failing Product & Failing Management","YouTrip","","","","","","","","Decent work life balance
Opportunity for learning","Growth within company always based on favouritism and whoever is closest to the boss
No 13th month, no performance bonus, no employee stock options
CEO made a touching speech with tears that everyone will retain their jobs in 2020, but quietly staff were being let go and those who stayed on were disappointed with her lies and also chose to resign",1,1,"",""
"2023-08-03 00:00:00.000","42257812","77730254","https://www.glassdoor.com/Reviews/Employee-Review-Chargebee-RVW77730254.htm","""2023-06-26T00:00:00.000Z""",3,"",2023,2,"null","","Former Employee","","","NEGATIVE","DISAPPROVE","NEGATIVE",1,1,1,1,"Regrettable Experience - A Workplace To Be Wary Of","Chargebee","","","","","","","","- Eye-opening: Teaches you exactly how a company should not be run. - Pays the bills: The compensation is tolerable. - Diverse clientele: Exposure to a broad range of clients if you can tolerate the cons.","- Communication breakdown: There is an endemic lack of communication that exacerbates every problem within the company. - Soul-crushing work-life balance: Expectation to dedicate your life to the job. Personal time and commitments are disregarded. - Dead-end job: Promises of advancement are smoke and mirrors. Don't expect growth or meaningful recognition. - Toxic culture: Cut-throat environment that fosters hostility and stress. Cooperation and collegiality are non-existent.",2,1,"",""
"2024-04-02 00:00:00.000","3767","20514877","https://www.glassdoor.co.uk/Reviews/Employee-Review-TD-RVW20514877.htm","""2018-05-09T17:51:32.563Z""",6,"",2018,4,"null","REGULAR","Former employee, more than 3 years","","","NEGATIVE","NO_OPINION","NEGATIVE",2,"",1,2,"HR is a joke","TD","","https://www.glassdoor.co.uk/Reviews/TD-Reviews-E3767_P1385.htm?sort.sortType=RD&sort.ascending=false&filter.iso3Language=eng&filter.includePastEmployees=true&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=FREELANCE","Tampa, FL","Store Supervisor","GET IT TOGETHER!!","https://www.glassdoor.co.uk/Overview/Working-at-TD-EI_IE3767.11,13.htm","https://www.glassdoor.co.uk/Reviews/TD-Reviews-E3767.htm?filter.iso3Language=spa&filter.employmentStatus=INTERN&filter.employmentStatus=FREELANCE&filter.employmentStatus=REGULAR&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=TEMPORARY","Most employees are great, Management on the other hand will ask you to do things that are against policy. (Thinking its going to be another Wells Fargo law suit soon)","HR and upper management does not have your back when it comes to informing them of ethics not being followed. When you hit 200% of your goal they email store manager to find out why you are above goal and why was that goal assigned, instead of recognizing excellent sales ability. Payouts are the lowest I've ever seen at a financial institution. They have clawbacks when customers close/chargeoff accounts within 90 days which means they take away all your work (sales) for those accounts and make you double the work to catch back up. They don't run Chex Systems so that happens ALOT. Their technology lets just say is something to laugh about.  Oh can't forget about their hold time for Bank Support, Fraud Management, or Collection Dept is on average an hour so you are literally helping 5 customers a day for service instead of actually making sales. Don't forget that most branches are open 7 days a week and late hours but not all departments are that you need to help with some of the customers needs.",1,1,3,"3767"
"2023-07-24 00:00:00.000","39851660","39851660","https://www.glassdoor.com/Reviews/Employee-Review-360-Degree-Cloud-Technologies-RVW39851660.htm","""2020-12-28T00:00:00.000Z""",1,"",2020,1,"null","","Former Employee","","","NEGATIVE","DISAPPROVE","NEGATIVE",1,1,1,1,"Worst company","360 Degree Cloud Technologies","","","","","","","","Nothing good about this company.Although they are sweet initially at the time of interview that everyone feel that it is a great place to work.Only salary package is Okk over here.","1.No job security
2.Management will only shout at you &amp; make you feel ashamed &amp;embarassing even for small mistakes. 
3. No good work culture. 
4. Lot of politics. Especially senior people, they put a blame on you for every mistake. 
5. Hiring process too slow . All senior HR's are so irresponsible that it's difficult to work as a team with them becoz they will try to dominate &amp;put a blame of theirs on others.",2,1,"",""
